Start time UTC,End time UTC,Solar Panel (MWh/h)
2023/1/6 10:00,2023/1/6 11:00,29.4
2023/1/6 11:00,2023/1/6 12:00,23.8
2023/1/6 12:00,2023/1/6 13:00,4.8
2023/1/6 13:00,2023/1/6 14:00,0
2023/1/6 14:00,2023/1/6 15:00,0
2023/1/6 15:00,2023/1/6 16:00,0
2023/1/6 16:00,2023/1/6 17:00,0
2023/1/6 17:00,2023/1/6 18:00,0
2023/1/6 18:00,2023/1/6 19:00,0
2023/1/6 19:00,2023/1/6 20:00,0
2023/1/6 20:00,2023/1/6 21:00,0
2023/1/6 21:00,2023/1/6 22:00,0
2023/1/6 22:00,2023/1/6 23:00,0
2023/1/6 23:00,2023/1/7 0:00,0
2023/1/7 0:00,2023/1/7 1:00,0
2023/1/7 1:00,2023/1/7 2:00,0
2023/1/7 2:00,2023/1/7 3:00,0
2023/1/7 3:00,2023/1/7 4:00,0
2023/1/7 4:00,2023/1/7 5:00,0
2023/1/7 5:00,2023/1/7 6:00,0
2023/1/7 6:00,2023/1/7 7:00,0
2023/1/7 7:00,2023/1/7 8:00,0
2023/1/7 8:00,2023/1/7 9:00,3
2023/1/7 9:00,2023/1/7 10:00,9.6
2023/1/7 10:00,2023/1/7 11:00,15.4
2023/1/7 11:00,2023/1/7 12:00,13.1
2023/1/7 12:00,2023/1/7 13:00,2.9
2023/1/7 13:00,2023/1/7 14:00,0
2023/1/7 14:00,2023/1/7 15:00,0
2023/1/7 15:00,2023/1/7 16:00,0
2023/1/7 16:00,2023/1/7 17:00,0
2023/1/7 17:00,2023/1/7 18:00,0
2023/1/7 18:00,2023/1/7 19:00,0
2023/1/7 19:00,2023/1/7 20:00,0
2023/1/7 20:00,2023/1/7 21:00,0
2023/1/7 21:00,2023/1/7 22:00,0
2023/1/7 22:00,2023/1/7 23:00,0
2023/1/7 23:00,2023/1/8 0:00,0
2023/1/8 0:00,2023/1/8 1:00,0
2023/1/8 1:00,2023/1/8 2:00,0
2023/1/8 2:00,2023/1/8 3:00,0
2023/1/8 3:00,2023/1/8 4:00,0
2023/1/8 4:00,2023/1/8 5:00,0
2023/1/8 5:00,2023/1/8 6:00,0
2023/1/8 6:00,2023/1/8 7:00,0
2023/1/8 7:00,2023/1/8 8:00,0
2023/1/8 8:00,2023/1/8 9:00,0.3
2023/1/8 9:00,2023/1/8 10:00,6.8
2023/1/8 10:00,2023/1/8 11:00,12.2
2023/1/8 11:00,2023/1/8 12:00,5.3
2023/1/8 12:00,2023/1/8 13:00,0
2023/1/8 13:00,2023/1/8 14:00,0
2023/1/8 14:00,2023/1/8 15:00,0
2023/1/8 15:00,2023/1/8 16:00,0
2023/1/8 16:00,2023/1/8 17:00,0
2023/1/8 17:00,2023/1/8 18:00,0
2023/1/8 18:00,2023/1/8 19:00,0
2023/1/8 19:00,2023/1/8 20:00,0
2023/1/8 20:00,2023/1/8 21:00,0
2023/1/8 21:00,2023/1/8 22:00,0
2023/1/8 22:00,2023/1/8 23:00,0
2023/1/8 23:00,2023/1/9 0:00,0
2023/1/9 0:00,2023/1/9 1:00,0
2023/1/9 1:00,2023/1/9 2:00,0
2023/1/9 2:00,2023/1/9 3:00,0
2023/1/9 3:00,2023/1/9 4:00,0
2023/1/9 4:00,2023/1/9 5:00,0
2023/1/9 5:00,2023/1/9 6:00,0
2023/1/9 6:00,2023/1/9 7:00,0
2023/1/9 7:00,2023/1/9 8:00,0
2023/1/9 8:00,2023/1/9 9:00,0.1
2023/1/9 9:00,2023/1/9 10:00,6.2
2023/1/9 10:00,2023/1/9 11:00,11.5
2023/1/9 11:00,2023/1/9 12:00,6.4
2023/1/9 12:00,2023/1/9 13:00,0
2023/1/9 13:00,2023/1/9 14:00,0
2023/1/9 14:00,2023/1/9 15:00,0
2023/1/9 15:00,2023/1/9 16:00,0
2023/1/9 16:00,2023/1/9 17:00,0
2023/1/9 17:00,2023/1/9 18:00,0
2023/1/9 18:00,2023/1/9 19:00,0
2023/1/9 19:00,2023/1/9 20:00,0
2023/1/9 20:00,2023/1/9 21:00,0
2023/1/9 21:00,2023/1/9 22:00,0
